name,url,from #player,to #player,duration (mins),complexity
marrakech,https://boardgamearena.com/gamepanel?game=marrakech,2,4,19,1
coltexpress,https://boardgamearena.com/gamepanel?game=coltexpress,2,6,20,2
tranquility,https://boardgamearena.com/gamepanel?game=tranquility,1,5,12,2
koikoi,https://boardgamearena.com/gamepanel?game=koikoi,2,2,9,2
haiclue,https://boardgamearena.com/gamepanel?game=haiclue,2,12,22,1
flamingpyramids,https://boardgamearena.com/gamepanel?game=flamingpyramids,2,6,12,1
pi,https://boardgamearena.com/gamepanel?game=pi,2,5,19,2
forbiddenisland,https://boardgamearena.com/gamepanel?game=forbiddenisland,2,4,28,2
happycity,https://boardgamearena.com/gamepanel?game=happycity,2,5,7,1
nothanks,https://boardgamearena.com/gamepanel?game=nothanks,3,7,7,1
thebuilders,https://boardgamearena.com/gamepanel?game=thebuilders,2,4,13,1
justdesserts,https://boardgamearena.com/gamepanel?game=justdesserts,2,5,9,1
coupcitystate,https://boardgamearena.com/gamepanel?game=coupcitystate,2,8,8,1
krosmasterarena,https://boardgamearena.com/gamepanel?game=krosmasterarena,2,2,33,3
dragonwood,https://boardgamearena.com/gamepanel?game=dragonwood,2,4,23,1
skull,https://boardgamearena.com/gamepanel?game=skull,3,6,9,0
cacao,https://boardgamearena.com/gamepanel?game=cacao,2,4,16,2
dungeonroll,https://boardgamearena.com/gamepanel?game=dungeonroll,1,4,12,2
dudo,https://boardgamearena.com/gamepanel?game=dudo,2,6,15,1
schroedingerscats,https://boardgamearena.com/gamepanel?game=schroedingerscats,2,6,8,1
redsevengame,https://boardgamearena.com/gamepanel?game=redsevengame,2,4,20,2
mrjack,https://boardgamearena.com/gamepanel?game=mrjack,2,2,15,3
buttons,https://boardgamearena.com/gamepanel?game=buttons,2,4,5,1
akeruption,https://boardgamearena.com/gamepanel?game=akeruption,2,6,49,2
splits,https://boardgamearena.com/gamepanel?game=splits,2,4,11,1
butterfly,https://boardgamearena.com/gamepanel?game=butterfly,2,5,6,1
quetzal,https://boardgamearena.com/gamepanel?game=quetzal,2,5,50,3
turnthetide,https://boardgamearena.com/gamepanel?game=turnthetide,3,6,18,2
welcometonewlasvegas,https://boardgamearena.com/gamepanel?game=welcometonewlasvegas,1,12,23,2
celestia,https://boardgamearena.com/gamepanel?game=celestia,4,6,25,1
battleship,https://boardgamearena.com/gamepanel?game=battleship,2,2,7,1
dragonheart,https://boardgamearena.com/gamepanel?game=dragonheart,2,2,4,2
boomerangaustralia,https://boardgamearena.com/gamepanel?game=boomerangaustralia,2,4,11,1
thebuildersantiquity,https://boardgamearena.com/gamepanel?game=thebuildersantiquity,2,4,16,1
icecoldicehockey,https://boardgamearena.com/gamepanel?game=icecoldicehockey,2,2,27,3
offtherails,https://boardgamearena.com/gamepanel?game=offtherails,1,4,26,2
skat,https://boardgamearena.com/gamepanel?game=skat,3,3,30,2
stirfryeighteen,https://boardgamearena.com/gamepanel?game=stirfryeighteen,2,5,12,1
theboss,https://boardgamearena.com/gamepanel?game=theboss,2,5,29,2
trekkingtheworld,https://boardgamearena.com/gamepanel?game=trekkingtheworld,2,5,27,2
fleet,https://boardgamearena.com/gamepanel?game=fleet,2,4,18,2
dragoncastle,https://boardgamearena.com/gamepanel?game=dragoncastle,2,4,40,2
palace,https://boardgamearena.com/gamepanel?game=palace,2,4,6,1
kami,https://boardgamearena.com/gamepanel?game=kami,2,4,16,2
mapmaker,https://boardgamearena.com/gamepanel?game=mapmaker,2,4,17,2
origin,https://boardgamearena.com/gamepanel?game=origin,2,4,37,2
marram,https://boardgamearena.com/gamepanel?game=marram,2,4,51,2
bigtimesoccer,https://boardgamearena.com/gamepanel?game=bigtimesoccer,2,2,45,2
yokai,https://boardgamearena.com/gamepanel?game=yokai,2,4,9,3
sobek,https://boardgamearena.com/gamepanel?game=sobek,2,4,18,1
saintpoker,https://boardgamearena.com/gamepanel?game=saintpoker,2,5,12,3
dingosdreams,https://boardgamearena.com/gamepanel?game=dingosdreams,2,9,6,1
briscola,https://boardgamearena.com/gamepanel?game=briscola,2,4,11,1
haggis,https://boardgamearena.com/gamepanel?game=haggis,2,3,21,2
teatime,https://boardgamearena.com/gamepanel?game=teatime,2,4,10,1
secretmoon,https://boardgamearena.com/gamepanel?game=secretmoon,5,8,24,2
aknile,https://boardgamearena.com/gamepanel?game=aknile,2,5,18,1
diams,https://boardgamearena.com/gamepanel?game=diams,2,5,24,2
ohseven,https://boardgamearena.com/gamepanel?game=ohseven,2,9,17,1
toeshambo,https://boardgamearena.com/gamepanel?game=toeshambo,2,2,3,1
apocalypseazcc,https://boardgamearena.com/gamepanel?game=apocalypseazcc,2,4,7,3
gaia,https://boardgamearena.com/gamepanel?game=gaia,2,5,17,2
niagara,https://boardgamearena.com/gamepanel?game=niagara,3,5,28,2
koryo,https://boardgamearena.com/gamepanel?game=koryo,2,4,6,3
ledernierpeuple,https://boardgamearena.com/gamepanel?game=ledernierpeuple,3,5,24,3
logger,https://boardgamearena.com/gamepanel?game=logger,2,4,8,1
restinpeace,https://boardgamearena.com/gamepanel?game=restinpeace,2,2,13,2
takaraisland,https://boardgamearena.com/gamepanel?game=takaraisland,2,4,33,2
penaltychallenge,https://boardgamearena.com/gamepanel?game=penaltychallenge,2,4,8,1
hacktrick,https://boardgamearena.com/gamepanel?game=hacktrick,2,2,26,3
veggiegarden,https://boardgamearena.com/gamepanel?game=veggiegarden,2,4,10,2
noirkvi,https://boardgamearena.com/gamepanel?game=noirkvi,2,2,5,2
nautilus,https://boardgamearena.com/gamepanel?game=nautilus,2,2,19,2
tiki,https://boardgamearena.com/gamepanel?game=tiki,2,2,11,3
consonar,https://boardgamearena.com/gamepanel?game=consonar,2,6,11,2
guildes,https://boardgamearena.com/gamepanel?game=guildes,3,6,11,2
outlaws,https://boardgamearena.com/gamepanel?game=outlaws,2,2,11,2
fourcolorcards,https://boardgamearena.com/gamepanel?game=fourcolorcards,2,4,8,2
thejellymonsterlab,https://boardgamearena.com/gamepanel?game=thejellymonsterlab,2,5,28,3
jumpgate,https://boardgamearena.com/gamepanel?game=jumpgate,2,5,35,2
sparts,https://boardgamearena.com/gamepanel?game=sparts,4,4,39,3
evogamenoname,https://boardgamearena.com/gamepanel?game=evogamenoname,2,4,25,3
rememberwhen,https://boardgamearena.com/gamepanel?game=rememberwhen,3,6,17,1
armadora,https://boardgamearena.com/gamepanel?game=armadora,2,4,17,1
yatzy,https://boardgamearena.com/gamepanel?game=yatzy,2,5,8,1
frenchtarot,https://boardgamearena.com/gamepanel?game=frenchtarot,3,5,26,3
hearts,https://boardgamearena.com/gamepanel?game=hearts,4,4,18,2
backgammon,https://boardgamearena.com/gamepanel?game=backgammon,2,2,8,1
belote,https://boardgamearena.com/gamepanel?game=belote,4,4,21,2
toc,https://boardgamearena.com/gamepanel?game=toc,2,6,16,3
coinche,https://boardgamearena.com/gamepanel?game=coinche,4,4,29,2
chess,https://boardgamearena.com/gamepanel?game=chess,2,2,18,3
santorini,https://boardgamearena.com/gamepanel?game=santorini,2,4,9,2
